record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.0,,,,840.0,Collecting baseline... RawAvg=840.00
baseline,840.0,,,,840.0,Collecting baseline... RawAvg=840.00
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.0,,,,840.0,Collecting baseline... RawAvg=840.00
baseline,840.0,,,,840.0,Collecting baseline... RawAvg=840.00
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.8,,,,840.8,Collecting baseline... RawAvg=840.80
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.8,,,,840.8,Collecting baseline... RawAvg=840.80
baseline,840.6,,,,840.6,Collecting baseline... RawAvg=840.60
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.0,,,,840.0,Collecting baseline... RawAvg=840.00
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.2,,,,840.2,Collecting baseline... RawAvg=840.20
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
baseline,840.4,,,,840.4,Collecting baseline... RawAvg=840.40
info,,,,,,Baseline collection complete! Starting detection.
final_base,,840.33,,,840.33,Final Base Raw Average = 840.33
info,,,,,,--------------------------------------------------------------------------
data,,840.3,840.2,0.1,840.2,Time=0.1s | BaseRaw=840.3 | CurrentRaw=840.2 | Change=0.1 => Floor
data,,840.3,840.2,0.1,840.2,Time=0.2s | BaseRaw=840.3 | CurrentRaw=840.2 | Change=0.1 => Floor
data,,840.3,840.0,0.3,840.0,Time=0.3s | BaseRaw=840.3 | CurrentRaw=840.0 | Change=0.3 => Floor
data,,840.3,840.2,0.1,840.2,Time=0.4s | BaseRaw=840.3 | CurrentRaw=840.2 | Change=0.1 => Floor
data,,840.3,840.2,0.1,840.2,Time=0.5s | BaseRaw=840.3 | CurrentRaw=840.2 | Change=0.1 => Floor
data,,840.3,840.2,0.1,840.2,Time=0.6s | BaseRaw=840.3 | CurrentRaw=840.2 | Change=0.1 => Floor
data,,840.3,840.2,0.1,840.2,Time=0.7s | BaseRaw=840.3 | CurrentRaw=840.2 | Change=0.1 => Floor
data,,840.3,840.2,0.1,840.2,Time=0.8s | BaseRaw=840.3 | CurrentRaw=840.2 | Change=0.1 => Floor
data,,840.3,840.2,0.1,840.2,Time=0.9s | BaseRaw=840.3 | CurrentRaw=840.2 | Change=0.1 => Floor
data,,840.3,840.2,0.1,840.2,Time=1.0s | BaseRaw=840.3 | CurrentRaw=840.2 | Change=0.1 => Floor
data,,840.3,840.4,0.1,840.4,Time=1.1s | BaseRaw=840.3 | CurrentRaw=840.4 | Change=0.1 => Floor
data,,840.3,840.4,0.1,840.4,Time=1.2s | BaseRaw=840.3 | CurrentRaw=840.4 | Change=0.1 => Floor
data,,840.3,840.6,0.3,840.6,Time=1.3s | BaseRaw=840.3 | CurrentRaw=840.6 | Change=0.3 => Floor
data,,840.3,840.4,0.1,840.4,Time=1.4s | BaseRaw=840.3 | CurrentRaw=840.4 | Change=0.1 => Floor
data,,840.3,840.4,0.1,840.4,Time=1.5s | BaseRaw=840.3 | CurrentRaw=840.4 | Change=0.1 => Floor
data,,840.3,840.2,0.1,840.2,Time=1.6s | BaseRaw=840.3 | CurrentRaw=840.2 | Change=0.1 => Floor
data,,840.3,840.2,0.1,840.2,Time=1.7s | BaseRaw=840.3 | CurrentRaw=840.2 | Change=0.1 => Floor
data,,840.3,840.0,0.3,840.0,Time=1.8s | BaseRaw=840.3 | CurrentRaw=840.0 | Change=0.3 => Floor
data,,840.3,840.0,0.3,840.0,Time=1.9s | BaseRaw=840.3 | CurrentRaw=840.0 | Change=0.3 => Floor
data,,840.3,840.0,0.3,840.0,Time=2.0s | BaseRaw=840.3 | CurrentRaw=840.0 | Change=0.3 => Floor
data,,840.3,840.0,0.3,840.0,Time=2.1s | BaseRaw=840.3 | CurrentRaw=840.0 | Change=0.3 => Floor
data,,840.3,840.0,0.3,840.0,Time=2.2s | BaseRaw=840.3 | CurrentRaw=840.0 | Change=0.3 => Floor
data,,840.3,840.0,0.3,840.0,Time=2.3s | BaseRaw=840.3 | CurrentRaw=840.0 | Change=0.3 => Floor
data,,840.3,840.0,0.3,840.0,Time=2.4s | BaseRaw=840.3 | CurrentRaw=840.0 | Change=0.3 => Floor
data,,840.3,840.2,0.1,840.2,Time=2.5s | BaseRaw=840.3 | CurrentRaw=840.2 | Change=0.1 => Floor
data,,840.3,840.2,0.1,840.2,Time=2.6s | BaseRaw=840.3 | CurrentRaw=840.2 | Change=0.1 => Floor
data,,840.3,840.2,0.1,840.2,Time=2.7s | BaseRaw=840.3 | CurrentRaw=840.2 | Change=0.1 => Floor
data,,840.3,840.2,0.1,840.2,Time=2.8s | BaseRaw=840.3 | CurrentRaw=840.2 | Change=0.1 => Floor
data,,840.3,840.2,0.1,840.2,Time=2.9s | BaseRaw=840.3 | CurrentRaw=840.2 | Change=0.1 => Floor
data,,840.3,840.2,0.1,840.2,Time=3.0s | BaseRaw=840.3 | CurrentRaw=840.2 | Change=0.1 => Floor
data,,840.3,840.2,0.1,840.2,Time=3.1s | BaseRaw=840.3 | CurrentRaw=840.2 | Change=0.1 => Floor
data,,840.3,840.4,0.1,840.4,Time=3.2s | BaseRaw=840.3 | CurrentRaw=840.4 | Change=0.1 => Floor
data,,840.3,840.4,0.1,840.4,Time=3.3s | BaseRaw=840.3 | CurrentRaw=840.4 | Change=0.1 => Floor
data,,840.3,840.4,0.1,840.4,Time=3.4s | BaseRaw=840.3 | CurrentRaw=840.4 | Change=0.1 => Floor
data,,840.3,840.2,0.1,840.2,Time=3.5s | BaseRaw=840.3 | CurrentRaw=840.2 | Change=0.1 => Floor
data,,840.3,840.2,0.1,840.2,Time=3.6s | BaseRaw=840.3 | CurrentRaw=840.2 | Change=0.1 => Floor
data,,840.3,840.2,0.1,840.2,Time=3.7s | BaseRaw=840.3 | CurrentRaw=840.2 | Change=0.1 => Floor
data,,840.3,840.2,0.1,840.2,Time=3.8s | BaseRaw=840.3 | CurrentRaw=840.2 | Change=0.1 => Floor
data,,840.3,840.4,0.1,840.4,Time=3.9s | BaseRaw=840.3 | CurrentRaw=840.4 | Change=0.1 => Floor
data,,840.3,840.4,0.1,840.4,Time=4.0s | BaseRaw=840.3 | CurrentRaw=840.4 | Change=0.1 => Floor
data,,840.3,840.4,0.1,840.4,Time=4.1s | BaseRaw=840.3 | CurrentRaw=840.4 | Change=0.1 => Floor
data,,840.3,840.2,0.1,840.2,Time=4.2s | BaseRaw=840.3 | CurrentRaw=840.2 | Change=0.1 => Floor
data,,840.3,840.2,0.1,840.2,Time=4.3s | BaseRaw=840.3 | CurrentRaw=840.2 | Change=0.1 => Floor
data,,840.3,840.2,0.1,840.2,Time=4.4s | BaseRaw=840.3 | CurrentRaw=840.2 | Change=0.1 => Floor
data,,840.3,840.2,0.1,840.2,Time=4.5s | BaseRaw=840.3 | CurrentRaw=840.2 | Change=0.1 => Floor
data,,840.3,840.4,0.1,840.4,Time=4.6s | BaseRaw=840.3 | CurrentRaw=840.4 | Change=0.1 => Floor
data,,840.3,840.4,0.1,840.4,Time=4.7s | BaseRaw=840.3 | CurrentRaw=840.4 | Change=0.1 => Floor
data,,840.3,840.4,0.1,840.4,Time=4.8s | BaseRaw=840.3 | CurrentRaw=840.4 | Change=0.1 => Floor
data,,840.3,840.4,0.1,840.4,Time=4.9s | BaseRaw=840.3 | CurrentRaw=840.4 | Change=0.1 => Floor
data,,840.3,840.4,0.1,840.4,Time=5.0s | BaseRaw=840.3 | CurrentRaw=840.4 | Change=0.1 => Floor
data,,840.3,840.2,0.1,840.2,Time=5.1s | BaseRaw=840.3 | CurrentRaw=840.2 | Change=0.1 => Floor
data,,840.3,840.2,0.1,840.2,Time=5.2s | BaseRaw=840.3 | CurrentRaw=840.2 | Change=0.1 => Floor
data,,840.3,840.2,0.1,840.2,Time=5.3s | BaseRaw=840.3 | CurrentRaw=840.2 | Change=0.1 => Floor
data,,840.3,840.0,0.3,840.0,Time=5.4s | BaseRaw=840.3 | CurrentRaw=840.0 | Change=0.3 => Floor
data,,840.3,840.0,0.3,840.0,Time=5.5s | BaseRaw=840.3 | CurrentRaw=840.0 | Change=0.3 => Floor
data,,840.3,840.2,0.1,840.2,Time=5.6s | BaseRaw=840.3 | CurrentRaw=840.2 | Change=0.1 => Floor
data,,840.3,839.8,0.5,839.8,Time=5.7s | BaseRaw=840.3 | CurrentRaw=839.8 | Change=0.5 => Floor
data,,840.3,839.2,1.1,839.2,Time=5.8s | BaseRaw=840.3 | CurrentRaw=839.2 | Change=1.1 => Floor
