record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,814.2,,,,814.2,Collecting baseline... RawAvg=814.20
baseline,814.4,,,,814.4,Collecting baseline... RawAvg=814.40
baseline,814.6,,,,814.6,Collecting baseline... RawAvg=814.60
baseline,815.0,,,,815.0,Collecting baseline... RawAvg=815.00
baseline,815.4,,,,815.4,Collecting baseline... RawAvg=815.40
baseline,816.0,,,,816.0,Collecting baseline... RawAvg=816.00
baseline,816.4,,,,816.4,Collecting baseline... RawAvg=816.40
baseline,816.8,,,,816.8,Collecting baseline... RawAvg=816.80
baseline,817.0,,,,817.0,Collecting baseline... RawAvg=817.00
baseline,817.0,,,,817.0,Collecting baseline... RawAvg=817.00
baseline,816.6,,,,816.6,Collecting baseline... RawAvg=816.60
baseline,816.2,,,,816.2,Collecting baseline... RawAvg=816.20
baseline,816.0,,,,816.0,Collecting baseline... RawAvg=816.00
baseline,815.6,,,,815.6,Collecting baseline... RawAvg=815.60
baseline,815.4,,,,815.4,Collecting baseline... RawAvg=815.40
baseline,815.8,,,,815.8,Collecting baseline... RawAvg=815.80
baseline,816.2,,,,816.2,Collecting baseline... RawAvg=816.20
baseline,816.4,,,,816.4,Collecting baseline... RawAvg=816.40
baseline,816.8,,,,816.8,Collecting baseline... RawAvg=816.80
baseline,816.8,,,,816.8,Collecting baseline... RawAvg=816.80
baseline,816.4,,,,816.4,Collecting baseline... RawAvg=816.40
baseline,816.0,,,,816.0,Collecting baseline... RawAvg=816.00
baseline,815.8,,,,815.8,Collecting baseline... RawAvg=815.80
baseline,815.6,,,,815.6,Collecting baseline... RawAvg=815.60
baseline,815.8,,,,815.8,Collecting baseline... RawAvg=815.80
baseline,816.4,,,,816.4,Collecting baseline... RawAvg=816.40
baseline,816.8,,,,816.8,Collecting baseline... RawAvg=816.80
baseline,816.8,,,,816.8,Collecting baseline... RawAvg=816.80
baseline,816.8,,,,816.8,Collecting baseline... RawAvg=816.80
baseline,816.4,,,,816.4,Collecting baseline... RawAvg=816.40
baseline,815.8,,,,815.8,Collecting baseline... RawAvg=815.80
baseline,815.6,,,,815.6,Collecting baseline... RawAvg=815.60
baseline,815.6,,,,815.6,Collecting baseline... RawAvg=815.60
baseline,815.8,,,,815.8,Collecting baseline... RawAvg=815.80
baseline,816.2,,,,816.2,Collecting baseline... RawAvg=816.20
baseline,816.6,,,,816.6,Collecting baseline... RawAvg=816.60
baseline,816.6,,,,816.6,Collecting baseline... RawAvg=816.60
baseline,816.4,,,,816.4,Collecting baseline... RawAvg=816.40
baseline,816.0,,,,816.0,Collecting baseline... RawAvg=816.00
baseline,815.6,,,,815.6,Collecting baseline... RawAvg=815.60
baseline,815.2,,,,815.2,Collecting baseline... RawAvg=815.20
baseline,815.2,,,,815.2,Collecting baseline... RawAvg=815.20
baseline,815.4,,,,815.4,Collecting baseline... RawAvg=815.40
baseline,815.8,,,,815.8,Collecting baseline... RawAvg=815.80
baseline,816.0,,,,816.0,Collecting baseline... RawAvg=816.00
baseline,816.2,,,,816.2,Collecting baseline... RawAvg=816.20
baseline,816.0,,,,816.0,Collecting baseline... RawAvg=816.00
baseline,815.8,,,,815.8,Collecting baseline... RawAvg=815.80
baseline,815.4,,,,815.4,Collecting baseline... RawAvg=815.40
info,,,,,,Baseline collection complete! Starting detection.
final_base,,815.97,,,815.97,Final Base Raw Average = 815.97
info,,,,,,--------------------------------------------------------------------------
data,,816.0,815.2,0.8,815.2,Time=0.1s | BaseRaw=816.0 | CurrentRaw=815.2 | Change=0.8 => Floor
data,,816.0,815.8,0.2,815.8,Time=0.2s | BaseRaw=816.0 | CurrentRaw=815.8 | Change=0.2 => Floor
data,,816.0,815.8,0.2,815.8,Time=0.3s | BaseRaw=816.0 | CurrentRaw=815.8 | Change=0.2 => Floor
data,,816.0,816.2,0.2,816.2,Time=0.4s | BaseRaw=816.0 | CurrentRaw=816.2 | Change=0.2 => Floor
data,,816.0,816.2,0.2,816.2,Time=0.5s | BaseRaw=816.0 | CurrentRaw=816.2 | Change=0.2 => Floor
data,,816.0,816.4,0.4,816.4,Time=0.6s | BaseRaw=816.0 | CurrentRaw=816.4 | Change=0.4 => Floor
data,,816.0,816.0,0.0,816.0,Time=0.7s | BaseRaw=816.0 | CurrentRaw=816.0 | Change=0.0 => Floor
data,,816.0,816.0,0.0,816.0,Time=0.8s | BaseRaw=816.0 | CurrentRaw=816.0 | Change=0.0 => Floor
data,,816.0,816.0,0.0,816.0,Time=0.9s | BaseRaw=816.0 | CurrentRaw=816.0 | Change=0.0 => Floor
data,,816.0,816.0,0.0,816.0,Time=1.0s | BaseRaw=816.0 | CurrentRaw=816.0 | Change=0.0 => Floor
data,,816.0,816.0,0.0,816.0,Time=1.1s | BaseRaw=816.0 | CurrentRaw=816.0 | Change=0.0 => Floor
data,,816.0,816.0,0.0,816.0,Time=1.2s | BaseRaw=816.0 | CurrentRaw=816.0 | Change=0.0 => Floor
data,,816.0,816.0,0.0,816.0,Time=1.3s | BaseRaw=816.0 | CurrentRaw=816.0 | Change=0.0 => Floor
data,,816.0,816.0,0.0,816.0,Time=1.4s | BaseRaw=816.0 | CurrentRaw=816.0 | Change=0.0 => Floor
data,,816.0,816.2,0.2,816.2,Time=1.5s | BaseRaw=816.0 | CurrentRaw=816.2 | Change=0.2 => Floor
data,,816.0,816.2,0.2,816.2,Time=1.6s | BaseRaw=816.0 | CurrentRaw=816.2 | Change=0.2 => Floor
data,,816.0,816.2,0.2,816.2,Time=1.7s | BaseRaw=816.0 | CurrentRaw=816.2 | Change=0.2 => Floor
data,,816.0,816.4,0.4,816.4,Time=1.8s | BaseRaw=816.0 | CurrentRaw=816.4 | Change=0.4 => Floor
data,,816.0,816.2,0.2,816.2,Time=1.9s | BaseRaw=816.0 | CurrentRaw=816.2 | Change=0.2 => Floor
data,,816.0,816.0,0.0,816.0,Time=2.0s | BaseRaw=816.0 | CurrentRaw=816.0 | Change=0.0 => Floor
data,,816.0,816.0,0.0,816.0,Time=2.1s | BaseRaw=816.0 | CurrentRaw=816.0 | Change=0.0 => Floor
data,,816.0,815.8,0.2,815.8,Time=2.2s | BaseRaw=816.0 | CurrentRaw=815.8 | Change=0.2 => Floor
data,,816.0,815.8,0.2,815.8,Time=2.3s | BaseRaw=816.0 | CurrentRaw=815.8 | Change=0.2 => Floor
data,,816.0,815.8,0.2,815.8,Time=2.4s | BaseRaw=816.0 | CurrentRaw=815.8 | Change=0.2 => Floor
data,,816.0,816.0,0.0,816.0,Time=2.5s | BaseRaw=816.0 | CurrentRaw=816.0 | Change=0.0 => Floor
data,,816.0,816.0,0.0,816.0,Time=2.6s | BaseRaw=816.0 | CurrentRaw=816.0 | Change=0.0 => Floor
data,,816.0,816.0,0.0,816.0,Time=2.7s | BaseRaw=816.0 | CurrentRaw=816.0 | Change=0.0 => Floor
data,,816.0,816.4,0.4,816.4,Time=2.8s | BaseRaw=816.0 | CurrentRaw=816.4 | Change=0.4 => Floor
data,,816.0,816.4,0.4,816.4,Time=2.9s | BaseRaw=816.0 | CurrentRaw=816.4 | Change=0.4 => Floor
data,,816.0,816.4,0.4,816.4,Time=3.0s | BaseRaw=816.0 | CurrentRaw=816.4 | Change=0.4 => Floor
data,,816.0,816.4,0.4,816.4,Time=3.1s | BaseRaw=816.0 | CurrentRaw=816.4 | Change=0.4 => Floor
data,,816.0,816.6,0.6,816.6,Time=3.2s | BaseRaw=816.0 | CurrentRaw=816.6 | Change=0.6 => Floor
data,,816.0,816.8,0.8,816.8,Time=3.3s | BaseRaw=816.0 | CurrentRaw=816.8 | Change=0.8 => Floor
data,,816.0,817.0,1.0,817.0,Time=3.4s | BaseRaw=816.0 | CurrentRaw=817.0 | Change=1.0 => Floor
data,,816.0,817.2,1.2,817.2,Time=3.5s | BaseRaw=816.0 | CurrentRaw=817.2 | Change=1.2 => Floor
data,,816.0,817.4,1.4,817.4,Time=3.6s | BaseRaw=816.0 | CurrentRaw=817.4 | Change=1.4 => Floor
data,,816.0,817.4,1.4,817.4,Time=3.7s | BaseRaw=816.0 | CurrentRaw=817.4 | Change=1.4 => Floor
data,,816.0,817.0,1.0,817.0,Time=3.8s | BaseRaw=816.0 | CurrentRaw=817.0 | Change=1.0 => Floor
data,,816.0,816.8,0.8,816.8,Time=3.9s | BaseRaw=816.0 | CurrentRaw=816.8 | Change=0.8 => Floor
data,,816.0,816.8,0.8,816.8,Time=4.0s | BaseRaw=816.0 | CurrentRaw=816.8 | Change=0.8 => Floor
data,,816.0,816.8,0.8,816.8,Time=4.1s | BaseRaw=816.0 | CurrentRaw=816.8 | Change=0.8 => Floor
data,,816.0,817.0,1.0,817.0,Time=4.2s | BaseRaw=816.0 | CurrentRaw=817.0 | Change=1.0 => Floor
data,,816.0,817.6,1.6,817.6,Time=4.3s | BaseRaw=816.0 | CurrentRaw=817.6 | Change=1.6 => Floor
data,,816.0,817.8,1.8,817.8,Time=4.4s | BaseRaw=816.0 | CurrentRaw=817.8 | Change=1.8 => Floor
