record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,1014.2,,,,1014.2,Collecting baseline... RawAvg=1014.20
baseline,1014.0,,,,1014.0,Collecting baseline... RawAvg=1014.00
baseline,1014.0,,,,1014.0,Collecting baseline... RawAvg=1014.00
baseline,1014.0,,,,1014.0,Collecting baseline... RawAvg=1014.00
baseline,1014.0,,,,1014.0,Collecting baseline... RawAvg=1014.00
baseline,1014.4,,,,1014.4,Collecting baseline... RawAvg=1014.40
baseline,1014.4,,,,1014.4,Collecting baseline... RawAvg=1014.40
baseline,1014.4,,,,1014.4,Collecting baseline... RawAvg=1014.40
baseline,1014.4,,,,1014.4,Collecting baseline... RawAvg=1014.40
baseline,1014.4,,,,1014.4,Collecting baseline... RawAvg=1014.40
baseline,1014.0,,,,1014.0,Collecting baseline... RawAvg=1014.00
baseline,1014.0,,,,1014.0,Collecting baseline... RawAvg=1014.00
baseline,1014.0,,,,1014.0,Collecting baseline... RawAvg=1014.00
baseline,1014.6,,,,1014.6,Collecting baseline... RawAvg=1014.60
baseline,1014.6,,,,1014.6,Collecting baseline... RawAvg=1014.60
baseline,1014.8,,,,1014.8,Collecting baseline... RawAvg=1014.80
baseline,1014.8,,,,1014.8,Collecting baseline... RawAvg=1014.80
baseline,1014.8,,,,1014.8,Collecting baseline... RawAvg=1014.80
baseline,1014.6,,,,1014.6,Collecting baseline... RawAvg=1014.60
baseline,1014.6,,,,1014.6,Collecting baseline... RawAvg=1014.60
baseline,1014.4,,,,1014.4,Collecting baseline... RawAvg=1014.40
baseline,1014.2,,,,1014.2,Collecting baseline... RawAvg=1014.20
baseline,1014.2,,,,1014.2,Collecting baseline... RawAvg=1014.20
baseline,1014.0,,,,1014.0,Collecting baseline... RawAvg=1014.00
baseline,1013.8,,,,1013.8,Collecting baseline... RawAvg=1013.80
baseline,1013.8,,,,1013.8,Collecting baseline... RawAvg=1013.80
baseline,1013.8,,,,1013.8,Collecting baseline... RawAvg=1013.80
baseline,1013.8,,,,1013.8,Collecting baseline... RawAvg=1013.80
baseline,1013.4,,,,1013.4,Collecting baseline... RawAvg=1013.40
baseline,1013.4,,,,1013.4,Collecting baseline... RawAvg=1013.40
baseline,1013.4,,,,1013.4,Collecting baseline... RawAvg=1013.40
baseline,1013.6,,,,1013.6,Collecting baseline... RawAvg=1013.60
baseline,1013.4,,,,1013.4,Collecting baseline... RawAvg=1013.40
baseline,1013.6,,,,1013.6,Collecting baseline... RawAvg=1013.60
baseline,1013.6,,,,1013.6,Collecting baseline... RawAvg=1013.60
baseline,1013.4,,,,1013.4,Collecting baseline... RawAvg=1013.40
baseline,1013.4,,,,1013.4,Collecting baseline... RawAvg=1013.40
baseline,1013.4,,,,1013.4,Collecting baseline... RawAvg=1013.40
baseline,1013.4,,,,1013.4,Collecting baseline... RawAvg=1013.40
baseline,1013.4,,,,1013.4,Collecting baseline... RawAvg=1013.40
baseline,1013.4,,,,1013.4,Collecting baseline... RawAvg=1013.40
baseline,1013.4,,,,1013.4,Collecting baseline... RawAvg=1013.40
baseline,1013.6,,,,1013.6,Collecting baseline... RawAvg=1013.60
baseline,1013.4,,,,1013.4,Collecting baseline... RawAvg=1013.40
baseline,1013.6,,,,1013.6,Collecting baseline... RawAvg=1013.60
baseline,1013.8,,,,1013.8,Collecting baseline... RawAvg=1013.80
baseline,1013.8,,,,1013.8,Collecting baseline... RawAvg=1013.80
baseline,1013.8,,,,1013.8,Collecting baseline... RawAvg=1013.80
baseline,1013.8,,,,1013.8,Collecting baseline... RawAvg=1013.80
info,,,,,,Baseline collection complete! Starting detection.
final_base,,1013.94,,,1013.94,Final Base Raw Average = 1013.94
info,,,,,,--------------------------------------------------------------------------
data,,1013.9,1013.6,0.3,1013.6,Time=0.1s | BaseRaw=1013.9 | CurrentRaw=1013.6 | Change=0.3 => Floor
data,,1013.9,1013.4,0.5,1013.4,Time=0.2s | BaseRaw=1013.9 | CurrentRaw=1013.4 | Change=0.5 => Floor
data,,1013.9,1013.2,0.7,1013.2,Time=0.3s | BaseRaw=1013.9 | CurrentRaw=1013.2 | Change=0.7 => Floor
data,,1013.9,1013.4,0.5,1013.4,Time=0.4s | BaseRaw=1013.9 | CurrentRaw=1013.4 | Change=0.5 => Floor
data,,1013.9,1013.4,0.5,1013.4,Time=0.5s | BaseRaw=1013.9 | CurrentRaw=1013.4 | Change=0.5 => Floor
data,,1013.9,1013.2,0.7,1013.2,Time=0.6s | BaseRaw=1013.9 | CurrentRaw=1013.2 | Change=0.7 => Floor
data,,1013.9,1013.6,0.3,1013.6,Time=0.7s | BaseRaw=1013.9 | CurrentRaw=1013.6 | Change=0.3 => Floor
data,,1013.9,1013.6,0.3,1013.6,Time=0.8s | BaseRaw=1013.9 | CurrentRaw=1013.6 | Change=0.3 => Floor
data,,1013.9,1013.4,0.5,1013.4,Time=0.9s | BaseRaw=1013.9 | CurrentRaw=1013.4 | Change=0.5 => Floor
data,,1013.9,1013.6,0.3,1013.6,Time=1.0s | BaseRaw=1013.9 | CurrentRaw=1013.6 | Change=0.3 => Floor
data,,1013.9,1013.8,0.1,1013.8,Time=1.1s | BaseRaw=1013.9 | CurrentRaw=1013.8 | Change=0.1 => Floor
data,,1013.9,1013.4,0.5,1013.4,Time=1.2s | BaseRaw=1013.9 | CurrentRaw=1013.4 | Change=0.5 => Floor
data,,1013.9,1013.4,0.5,1013.4,Time=1.3s | BaseRaw=1013.9 | CurrentRaw=1013.4 | Change=0.5 => Floor
data,,1013.9,1013.4,0.5,1013.4,Time=1.4s | BaseRaw=1013.9 | CurrentRaw=1013.4 | Change=0.5 => Floor
data,,1013.9,1013.2,0.7,1013.2,Time=1.5s | BaseRaw=1013.9 | CurrentRaw=1013.2 | Change=0.7 => Floor
data,,1013.9,1013.2,0.7,1013.2,Time=1.6s | BaseRaw=1013.9 | CurrentRaw=1013.2 | Change=0.7 => Floor
data,,1013.9,1013.4,0.5,1013.4,Time=1.7s | BaseRaw=1013.9 | CurrentRaw=1013.4 | Change=0.5 => Floor
data,,1013.9,1013.4,0.5,1013.4,Time=1.8s | BaseRaw=1013.9 | CurrentRaw=1013.4 | Change=0.5 => Floor
data,,1013.9,1013.6,0.3,1013.6,Time=1.9s | BaseRaw=1013.9 | CurrentRaw=1013.6 | Change=0.3 => Floor
data,,1013.9,1013.8,0.1,1013.8,Time=2.0s | BaseRaw=1013.9 | CurrentRaw=1013.8 | Change=0.1 => Floor
data,,1013.9,1013.8,0.1,1013.8,Time=2.1s | BaseRaw=1013.9 | CurrentRaw=1013.8 | Change=0.1 => Floor
data,,1013.9,1013.8,0.1,1013.8,Time=2.2s | BaseRaw=1013.9 | CurrentRaw=1013.8 | Change=0.1 => Floor
data,,1013.9,1013.8,0.1,1013.8,Time=2.3s | BaseRaw=1013.9 | CurrentRaw=1013.8 | Change=0.1 => Floor
data,,1013.9,1013.6,0.3,1013.6,Time=2.4s | BaseRaw=1013.9 | CurrentRaw=1013.6 | Change=0.3 => Floor
data,,1013.9,1013.4,0.5,1013.4,Time=2.5s | BaseRaw=1013.9 | CurrentRaw=1013.4 | Change=0.5 => Floor
data,,1013.9,1013.4,0.5,1013.4,Time=2.6s | BaseRaw=1013.9 | CurrentRaw=1013.4 | Change=0.5 => Floor
data,,1013.9,1013.4,0.5,1013.4,Time=2.7s | BaseRaw=1013.9 | CurrentRaw=1013.4 | Change=0.5 => Floor
data,,1013.9,1013.8,0.1,1013.8,Time=2.8s | BaseRaw=1013.9 | CurrentRaw=1013.8 | Change=0.1 => Floor
data,,1013.9,1013.8,0.1,1013.8,Time=2.9s | BaseRaw=1013.9 | CurrentRaw=1013.8 | Change=0.1 => Floor
data,,1013.9,1013.8,0.1,1013.8,Time=3.0s | BaseRaw=1013.9 | CurrentRaw=1013.8 | Change=0.1 => Floor
data,,1013.9,1013.8,0.1,1013.8,Time=3.1s | BaseRaw=1013.9 | CurrentRaw=1013.8 | Change=0.1 => Floor
data,,1013.9,1013.8,0.1,1013.8,Time=3.2s | BaseRaw=1013.9 | CurrentRaw=1013.8 | Change=0.1 => Floor
data,,1013.9,1013.6,0.3,1013.6,Time=3.3s | BaseRaw=1013.9 | CurrentRaw=1013.6 | Change=0.3 => Floor
data,,1013.9,1013.6,0.3,1013.6,Time=3.4s | BaseRaw=1013.9 | CurrentRaw=1013.6 | Change=0.3 => Floor
data,,1013.9,1013.4,0.5,1013.4,Time=3.5s | BaseRaw=1013.9 | CurrentRaw=1013.4 | Change=0.5 => Floor
data,,1013.9,1012.8,1.1,1012.8,Time=3.6s | BaseRaw=1013.9 | CurrentRaw=1012.8 | Change=1.1 => Floor
data,,1013.9,1012.0,1.9,1012.0,Time=3.7s | BaseRaw=1013.9 | CurrentRaw=1012.0 | Change=1.9 => Floor
data,,1013.9,1011.4,2.5,1011.4,Time=3.8s | BaseRaw=1013.9 | CurrentRaw=1011.4 | Change=2.5 => Floor
data,,1013.9,1011.0,2.9,1011.0,Time=3.9s | BaseRaw=1013.9 | CurrentRaw=1011.0 | Change=2.9 => Floor
data,,1013.9,1010.8,3.1,1010.8,Time=4.0s | BaseRaw=1013.9 | CurrentRaw=1010.8 | Change=3.1 => Floor
data,,1013.9,1010.8,3.1,1010.8,Time=4.1s | BaseRaw=1013.9 | CurrentRaw=1010.8 | Change=3.1 => Floor
data,,1013.9,1010.8,3.1,1010.8,Time=4.2s | BaseRaw=1013.9 | CurrentRaw=1010.8 | Change=3.1 => Floor
data,,1013.9,1011.0,2.9,1011.0,Time=4.3s | BaseRaw=1013.9 | CurrentRaw=1011.0 | Change=2.9 => Floor
